,Ethnicity,LAD,2021,2011,2001
0,Asian,Bradford,0.661,0.692,0.744
1,Asian,Craven,0.593,0.631,0.868
2,Asian,Haarogate,0.444,0.501,0.806
3,Asian,Leeds,0.512,0.544,0.605
4,Asian,Wakefield,0.577,0.582,0.713
5,Black,Bradford,0.479,0.471,0.518
6,Black,Craven,0.738,0.807,0.927
7,Black,Haarogate,0.601,0.525,0.83
8,Black,Leeds,0.556,0.579,0.636
9,Black,Wakefield,0.55,0.57,0.879
10,White,Bradford,0.654,0.667,0.7
11,White,Craven,0.427,0.506,0.606
12,White,Haarogate,0.329,0.347,0.457
13,White,Leeds,0.484,0.508,0.533
14,White,Wakefield,0.451,0.469,0.546
15,Others,Bradford,0.295,0.33,0.371
16,Others,Craven,0.359,0.391,0.619
17,Others,Haarogate,0.305,0.323,0.49
18,Others,Leeds,0.329,0.376,0.432
19,Others,Wakefield,0.348,0.378,0.548
